python3 08_dqn_rainbow.py --cuda
422373: done 400 games, mean reward -16.660, speed 83.64 f/s
425305: done 401 games, mean reward -16.300, speed 83.62 f/s
427239: done 402 games, mean reward -15.900, speed 83.64 f/s
430338: done 403 games, mean reward -15.570, speed 83.66 f/s
432381: done 404 games, mean reward -15.160, speed 81.55 f/s
437392: done 405 games, mean reward -14.870, speed 82.72 f/s
441627: done 406 games, mean reward -14.640, speed 83.29 f/s
444773: done 407 games, mean reward -14.250, speed 83.33 f/s
446608: done 408 games, mean reward -13.830, speed 83.52 f/s
448299: done 409 games, mean reward -13.410, speed 83.44 f/s
450498: done 410 games, mean reward -13.000, speed 83.17 f/s
452781: done 411 games, mean reward -12.610, speed 82.64 f/s
454751: done 412 games, mean reward -12.220, speed 83.28 f/s
456565: done 413 games, mean reward -11.810, speed 83.34 f/s
458497: done 414 games, mean reward -11.400, speed 83.40 f/s
460272: done 415 games, mean reward -10.990, speed 83.31 f/s
461993: done 416 games, mean reward -10.590, speed 82.35 f/s
463991: done 417 games, mean reward -10.180, speed 81.56 f/s
466282: done 418 games, mean reward -9.800, speed 82.72 f/s
468992: done 419 games, mean reward -9.440, speed 82.98 f/s
471960: done 420 games, mean reward -9.110, speed 83.25 f/s
474052: done 421 games, mean reward -8.720, speed 83.23 f/s
475802: done 422 games, mean reward -8.320, speed 83.30 f/s
477773: done 423 games, mean reward -7.920, speed 83.44 f/s
479498: done 424 games, mean reward -7.510, speed 83.55 f/s
481440: done 425 games, mean reward -7.110, speed 83.19 f/s
483109: done 426 games, mean reward -6.700, speed 83.29 f/s
484779: done 427 games, mean reward -6.300, speed 83.39 f/s
486712: done 428 games, mean reward -5.890, speed 83.03 f/s
488543: done 429 games, mean reward -5.490, speed 83.26 f/s
490259: done 430 games, mean reward -5.070, speed 83.34 f/s
492297: done 431 games, mean reward -4.670, speed 83.39 f/s
493951: done 432 games, mean reward -4.250, speed 81.51 f/s
495707: done 433 games, mean reward -3.830, speed 80.68 f/s
497408: done 434 games, mean reward -3.410, speed 79.39 f/s
499103: done 435 games, mean reward -2.990, speed 82.44 f/s
500793: done 436 games, mean reward -2.570, speed 83.44 f/s
502492: done 437 games, mean reward -2.150, speed 83.18 f/s
504196: done 438 games, mean reward -1.740, speed 83.38 f/s
505893: done 439 games, mean reward -1.330, speed 83.41 f/s
507589: done 440 games, mean reward -0.920, speed 83.38 f/s
509304: done 441 games, mean reward -0.500, speed 83.15 f/s
511021: done 442 games, mean reward -0.090, speed 83.39 f/s
512720: done 443 games, mean reward 0.330, speed 83.32 f/s
514388: done 444 games, mean reward 0.740, speed 83.48 f/s
516044: done 445 games, mean reward 1.140, speed 83.45 f/s
517715: done 446 games, mean reward 1.550, speed 83.33 f/s
519508: done 447 games, mean reward 1.960, speed 83.46 f/s
521309: done 448 games, mean reward 2.370, speed 83.30 f/s
522967: done 449 games, mean reward 2.780, speed 83.32 f/s
524683: done 450 games, mean reward 3.180, speed 81.42 f/s
526492: done 451 games, mean reward 3.580, speed 81.15 f/s
528186: done 452 games, mean reward 4.000, speed 83.09 f/s
529942: done 453 games, mean reward 4.420, speed 83.96 f/s
531667: done 454 games, mean reward 4.830, speed 84.96 f/s
533515: done 455 games, mean reward 5.190, speed 85.08 f/s
535167: done 456 games, mean reward 5.600, speed 85.12 f/s
536843: done 457 games, mean reward 6.000, speed 85.00 f/s
538670: done 458 games, mean reward 6.390, speed 85.08 f/s
540431: done 459 games, mean reward 6.760, speed 85.11 f/s
542348: done 460 games, mean reward 7.130, speed 85.40 f/s
544062: done 461 games, mean reward 7.510, speed 85.44 f/s
545874: done 462 games, mean reward 7.900, speed 85.24 f/s
547640: done 463 games, mean reward 8.300, speed 85.29 f/s
549754: done 464 games, mean reward 8.660, speed 85.04 f/s
551405: done 465 games, mean reward 9.030, speed 85.35 f/s
553062: done 466 games, mean reward 9.370, speed 84.13 f/s
554993: done 467 games, mean reward 9.730, speed 85.08 f/s
556646: done 468 games, mean reward 10.100, speed 85.23 f/s
558342: done 469 games, mean reward 10.470, speed 85.28 f/s
560096: done 470 games, mean reward 10.870, speed 84.32 f/s
561812: done 471 games, mean reward 11.280, speed 83.75 f/s
563609: done 472 games, mean reward 11.640, speed 84.89 f/s
565281: done 473 games, mean reward 12.000, speed 83.22 f/s
567344: done 474 games, mean reward 12.290, speed 84.68 f/s
570501: done 475 games, mean reward 12.540, speed 85.21 f/s
572158: done 476 games, mean reward 12.910, speed 84.84 f/s
573814: done 477 games, mean reward 13.260, speed 85.15 f/s
575525: done 478 games, mean reward 13.640, speed 84.86 f/s
577241: done 479 games, mean reward 14.000, speed 85.38 f/s
