python3 02_dqn_n_steps.py --cuda
478566: done 207 games, mean reward 14.080, speed 182.61 f/s, eps 0.02
480517: done 208 games, mean reward 14.230, speed 182.45 f/s, eps 0.02
482531: done 209 games, mean reward 14.310, speed 181.84 f/s, eps 0.02
484609: done 210 games, mean reward 14.480, speed 181.61 f/s, eps 0.02
486524: done 211 games, mean reward 14.730, speed 181.91 f/s, eps 0.02
488432: done 212 games, mean reward 14.910, speed 181.42 f/s, eps 0.02
490546: done 213 games, mean reward 15.020, speed 181.16 f/s, eps 0.02
492828: done 214 games, mean reward 15.160, speed 181.39 f/s, eps 0.02
494966: done 215 games, mean reward 15.240, speed 181.57 f/s, eps 0.02
497088: done 216 games, mean reward 15.340, speed 182.35 f/s, eps 0.02
498956: done 217 games, mean reward 15.430, speed 181.47 f/s, eps 0.02
501461: done 218 games, mean reward 15.500, speed 183.48 f/s, eps 0.02
503440: done 219 games, mean reward 15.610, speed 177.97 f/s, eps 0.02
505264: done 220 games, mean reward 15.760, speed 180.91 f/s, eps 0.02
507484: done 221 games, mean reward 15.890, speed 182.06 f/s, eps 0.02
509336: done 222 games, mean reward 15.910, speed 181.97 f/s, eps 0.02
511668: done 223 games, mean reward 15.960, speed 182.05 f/s, eps 0.02
514301: done 224 games, mean reward 16.050, speed 182.35 f/s, eps 0.02
516196: done 225 games, mean reward 16.090, speed 181.21 f/s, eps 0.02
518031: done 226 games, mean reward 16.180, speed 179.60 f/s, eps 0.02
520049: done 227 games, mean reward 16.220, speed 182.00 f/s, eps 0.02
522297: done 228 games, mean reward 16.260, speed 181.73 f/s, eps 0.02
524232: done 229 games, mean reward 16.340, speed 182.11 f/s, eps 0.02
526993: done 230 games, mean reward 16.350, speed 181.28 f/s, eps 0.02
529381: done 231 games, mean reward 16.360, speed 180.61 f/s, eps 0.02
531922: done 232 games, mean reward 16.330, speed 182.33 f/s, eps 0.02
533908: done 233 games, mean reward 16.400, speed 182.41 f/s, eps 0.02
535847: done 234 games, mean reward 16.390, speed 181.67 f/s, eps 0.02
537728: done 235 games, mean reward 16.450, speed 182.70 f/s, eps 0.02
540236: done 236 games, mean reward 16.470, speed 181.52 f/s, eps 0.02
542451: done 237 games, mean reward 16.540, speed 182.06 f/s, eps 0.02
544623: done 238 games, mean reward 16.540, speed 182.20 f/s, eps 0.02
546600: done 239 games, mean reward 16.590, speed 182.75 f/s, eps 0.02
548438: done 240 games, mean reward 16.640, speed 183.61 f/s, eps 0.02
550516: done 241 games, mean reward 16.640, speed 182.61 f/s, eps 0.02
552475: done 242 games, mean reward 16.730, speed 182.69 f/s, eps 0.02
554511: done 243 games, mean reward 16.800, speed 182.18 f/s, eps 0.02
556767: done 244 games, mean reward 16.860, speed 181.93 f/s, eps 0.02
558852: done 245 games, mean reward 16.890, speed 182.33 f/s, eps 0.02
560956: done 246 games, mean reward 16.890, speed 178.87 f/s, eps 0.02
563079: done 247 games, mean reward 16.880, speed 183.13 f/s, eps 0.02
564945: done 248 games, mean reward 16.990, speed 181.44 f/s, eps 0.02
566951: done 249 games, mean reward 17.040, speed 181.56 f/s, eps 0.02
569184: done 250 games, mean reward 17.040, speed 182.33 f/s, eps 0.02
571392: done 251 games, mean reward 17.060, speed 182.87 f/s, eps 0.02
573166: done 252 games, mean reward 17.080, speed 182.59 f/s, eps 0.02
575228: done 253 games, mean reward 17.190, speed 182.06 f/s, eps 0.02
577016: done 254 games, mean reward 17.220, speed 182.98 f/s, eps 0.02
579005: done 255 games, mean reward 17.230, speed 181.66 f/s, eps 0.02
581513: done 256 games, mean reward 17.240, speed 182.01 f/s, eps 0.02
583702: done 257 games, mean reward 17.260, speed 182.87 f/s, eps 0.02
585600: done 258 games, mean reward 17.310, speed 183.49 f/s, eps 0.02
587422: done 259 games, mean reward 17.310, speed 181.64 f/s, eps 0.02
589365: done 260 games, mean reward 17.380, speed 182.41 f/s, eps 0.02
591519: done 261 games, mean reward 17.360, speed 181.07 f/s, eps 0.02
593357: done 262 games, mean reward 17.400, speed 182.05 f/s, eps 0.02
