python3 04_dqn_noisy_net.py --cuda
227723: done 259 games, mean reward -20.450, speed 143.13 f/s
228664: done 260 games, mean reward -20.440, speed 140.80 f/s
229724: done 261 games, mean reward -20.440, speed 140.61 f/s
230635: done 262 games, mean reward -20.440, speed 146.16 f/s
231395: done 263 games, mean reward -20.450, speed 150.39 f/s
232155: done 264 games, mean reward -20.450, speed 151.53 f/s
233050: done 265 games, mean reward -20.450, speed 154.80 f/s
233888: done 266 games, mean reward -20.440, speed 151.46 f/s
234708: done 267 games, mean reward -20.460, speed 147.38 f/s
235550: done 268 games, mean reward -20.470, speed 155.46 f/s
236369: done 269 games, mean reward -20.470, speed 150.73 f/s
237206: done 270 games, mean reward -20.470, speed 150.28 f/s
238023: done 271 games, mean reward -20.490, speed 148.25 f/s
238862: done 272 games, mean reward -20.490, speed 150.51 f/s
239685: done 273 games, mean reward -20.500, speed 148.47 f/s
240503: done 274 games, mean reward -20.500, speed 147.05 f/s
241432: done 275 games, mean reward -20.480, speed 150.75 f/s
242254: done 276 games, mean reward -20.480, speed 156.92 f/s
243244: done 277 games, mean reward -20.470, speed 152.52 f/s
244002: done 278 games, mean reward -20.470, speed 144.93 f/s
244987: done 279 games, mean reward -20.460, speed 151.09 f/s
245886: done 280 games, mean reward -20.470, speed 153.34 f/s
246784: done 281 games, mean reward -20.460, speed 153.15 f/s
247572: done 282 games, mean reward -20.460, speed 152.62 f/s
248562: done 283 games, mean reward -20.450, speed 154.78 f/s
249468: done 284 games, mean reward -20.470, speed 146.93 f/s
250545: done 285 games, mean reward -20.460, speed 142.12 f/s
251477: done 286 games, mean reward -20.470, speed 143.19 f/s
252237: done 287 games, mean reward -20.470, speed 143.50 f/s
253057: done 288 games, mean reward -20.480, speed 141.75 f/s
253878: done 289 games, mean reward -20.480, speed 140.65 f/s
254747: done 290 games, mean reward -20.480, speed 142.43 f/s
255800: done 291 games, mean reward -20.470, speed 141.75 f/s
256774: done 292 games, mean reward -20.460, speed 142.55 f/s
257999: done 293 games, mean reward -20.420, speed 142.73 f/s
258971: done 294 games, mean reward -20.420, speed 142.94 f/s
259760: done 295 games, mean reward -20.420, speed 143.75 f/s
260600: done 296 games, mean reward -20.430, speed 143.96 f/s
261357: done 297 games, mean reward -20.440, speed 141.57 f/s
262286: done 298 games, mean reward -20.430, speed 142.30 f/s
263122: done 299 games, mean reward -20.430, speed 142.63 f/s
263964: done 300 games, mean reward -20.430, speed 139.68 f/s
264799: done 301 games, mean reward -20.420, speed 142.96 f/s
265604: done 302 games, mean reward -20.440, speed 143.74 f/s
266428: done 303 games, mean reward -20.440, speed 144.43 f/s
267241: done 304 games, mean reward -20.440, speed 149.89 f/s
268125: done 305 games, mean reward -20.440, speed 153.26 f/s
269096: done 306 games, mean reward -20.460, speed 149.31 f/s
269882: done 307 games, mean reward -20.460, speed 147.07 f/s
270727: done 308 games, mean reward -20.460, speed 148.69 f/s
271663: done 309 games, mean reward -20.440, speed 149.24 f/s
272503: done 310 games, mean reward -20.440, speed 150.49 f/s
273352: done 311 games, mean reward -20.450, speed 154.83 f/s
274169: done 312 games, mean reward -20.470, speed 146.10 f/s
275016: done 313 games, mean reward -20.470, speed 142.68 f/s
275969: done 314 games, mean reward -20.480, speed 144.04 f/s
276727: done 315 games, mean reward -20.480, speed 143.66 f/s
277484: done 316 games, mean reward -20.490, speed 144.72 f/s
278407: done 317 games, mean reward -20.490, speed 143.57 f/s
279297: done 318 games, mean reward -20.480, speed 142.46 f/s
280271: done 319 games, mean reward -20.480, speed 144.47 f/s
281058: done 320 games, mean reward -20.480, speed 144.18 f/s
282011: done 321 games, mean reward -20.460, speed 142.98 f/s
282912: done 322 games, mean reward -20.460, speed 142.97 f/s
284039: done 323 games, mean reward -20.440, speed 141.60 f/s
284860: done 324 games, mean reward -20.440, speed 142.86 f/s
285785: done 325 games, mean reward -20.440, speed 143.85 f/s
286681: done 326 games, mean reward -20.430, speed 143.43 f/s
287519: done 327 games, mean reward -20.420, speed 143.75 f/s
288479: done 328 games, mean reward -20.420, speed 143.17 f/s
289237: done 329 games, mean reward -20.440, speed 143.55 f/s
290058: done 330 games, mean reward -20.440, speed 144.47 f/s
291038: done 331 games, mean reward -20.440, speed 144.19 f/s
291847: done 332 games, mean reward -20.440, speed 142.18 f/s
292894: done 333 games, mean reward -20.430, speed 143.20 f/s
293829: done 334 games, mean reward -20.410, speed 142.93 f/s
294659: done 335 games, mean reward -20.410, speed 144.37 f/s
295622: done 336 games, mean reward -20.400, speed 145.16 f/s
296551: done 337 games, mean reward -20.390, speed 143.51 f/s
297403: done 338 games, mean reward -20.400, speed 146.45 f/s
298254: done 339 games, mean reward -20.400, speed 144.85 f/s
299085: done 340 games, mean reward -20.400, speed 144.11 f/s
300181: done 341 games, mean reward -20.390, speed 143.59 f/s
301178: done 342 games, mean reward -20.400, speed 142.85 f/s
302185: done 343 games, mean reward -20.400, speed 144.88 f/s
302945: done 344 games, mean reward -20.410, speed 145.08 f/s
303884: done 345 games, mean reward -20.420, speed 142.05 f/s
304735: done 346 games, mean reward -20.420, speed 144.26 f/s
305632: done 347 games, mean reward -20.420, speed 144.05 f/s
306536: done 348 games, mean reward -20.410, speed 143.76 f/s
307455: done 349 games, mean reward -20.400, speed 142.32 f/s
308407: done 350 games, mean reward -20.400, speed 144.45 f/s
309225: done 351 games, mean reward -20.400, speed 143.48 f/s
310178: done 352 games, mean reward -20.410, speed 143.74 f/s
311013: done 353 games, mean reward -20.410, speed 143.45 f/s
311881: done 354 games, mean reward -20.410, speed 142.88 f/s
312775: done 355 games, mean reward -20.420, speed 144.68 f/s
313704: done 356 games, mean reward -20.420, speed 143.19 f/s
314526: done 357 games, mean reward -20.430, speed 141.68 f/s
315312: done 358 games, mean reward -20.430, speed 143.62 f/s
316177: done 359 games, mean reward -20.430, speed 144.23 f/s
317057: done 360 games, mean reward -20.450, speed 144.26 f/s
318328: done 361 games, mean reward -20.420, speed 145.62 f/s
319296: done 362 games, mean reward -20.420, speed 145.41 f/s
320222: done 363 games, mean reward -20.400, speed 149.50 f/s
320983: done 364 games, mean reward -20.400, speed 153.55 f/s
321804: done 365 games, mean reward -20.410, speed 151.68 f/s
322627: done 366 games, mean reward -20.420, speed 152.15 f/s
323451: done 367 games, mean reward -20.420, speed 152.56 f/s
324396: done 368 games, mean reward -20.410, speed 156.74 f/s
325260: done 369 games, mean reward -20.400, speed 154.79 f/s
326079: done 370 games, mean reward -20.400, speed 147.80 f/s
326988: done 371 games, mean reward -20.400, speed 153.50 f/s
327798: done 372 games, mean reward -20.400, speed 149.04 f/s
328836: done 373 games, mean reward -20.370, speed 142.14 f/s
329684: done 374 games, mean reward -20.370, speed 142.18 f/s
330541: done 375 games, mean reward -20.380, speed 143.05 f/s
331420: done 376 games, mean reward -20.380, speed 141.88 f/s
332360: done 377 games, mean reward -20.390, speed 141.61 f/s
333278: done 378 games, mean reward -20.370, speed 140.82 f/s
334116: done 379 games, mean reward -20.380, speed 141.18 f/s
334967: done 380 games, mean reward -20.380, speed 141.80 f/s
335864: done 381 games, mean reward -20.380, speed 139.31 f/s
336779: done 382 games, mean reward -20.370, speed 138.12 f/s
337677: done 383 games, mean reward -20.370, speed 137.24 f/s
338495: done 384 games, mean reward -20.370, speed 138.28 f/s
339298: done 385 games, mean reward -20.380, speed 137.15 f/s
340118: done 386 games, mean reward -20.380, speed 140.19 f/s
341013: done 387 games, mean reward -20.370, speed 141.30 f/s
341836: done 388 games, mean reward -20.370, speed 143.78 f/s
342753: done 389 games, mean reward -20.360, speed 142.24 f/s
343592: done 390 games, mean reward -20.370, speed 143.63 f/s
344474: done 391 games, mean reward -20.370, speed 141.18 f/s
345291: done 392 games, mean reward -20.380, speed 138.12 f/s
346110: done 393 games, mean reward -20.420, speed 140.16 f/s
346867: done 394 games, mean reward -20.420, speed 141.80 f/s
347828: done 395 games, mean reward -20.410, speed 138.43 f/s
348856: done 396 games, mean reward -20.390, speed 137.45 f/s
349720: done 397 games, mean reward -20.380, speed 139.77 f/s
350717: done 398 games, mean reward -20.390, speed 139.66 f/s
351781: done 399 games, mean reward -20.400, speed 140.55 f/s
352662: done 400 games, mean reward -20.400, speed 136.74 f/s
353542: done 401 games, mean reward -20.410, speed 137.21 f/s
354514: done 402 games, mean reward -20.400, speed 139.43 f/s
355364: done 403 games, mean reward -20.400, speed 139.57 f/s
356304: done 404 games, mean reward -20.400, speed 140.21 f/s
357085: done 405 games, mean reward -20.400, speed 137.70 f/s
357950: done 406 games, mean reward -20.390, speed 138.96 f/s
359180: done 407 games, mean reward -20.360, speed 138.20 f/s
360027: done 408 games, mean reward -20.360, speed 139.49 f/s
360870: done 409 games, mean reward -20.380, speed 142.16 f/s
361629: done 410 games, mean reward -20.390, speed 140.06 f/s
362450: done 411 games, mean reward -20.390, speed 137.15 f/s
363230: done 412 games, mean reward -20.390, speed 139.68 f/s
364052: done 413 games, mean reward -20.390, speed 140.76 f/s
364902: done 414 games, mean reward -20.390, speed 141.58 f/s
