PGN(
  (net): Sequential(
    (0): Linear(in_features=4, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=2, bias=True)
  )
)
69453: reward: 200.00, mean_100: 165.12, episodes: 475
69654: reward: 200.00, mean_100: 165.85, episodes: 476
69855: reward: 200.00, mean_100: 166.49, episodes: 477
70056: reward: 200.00, mean_100: 167.07, episodes: 478
70257: reward: 200.00, mean_100: 167.99, episodes: 479
70458: reward: 200.00, mean_100: 168.71, episodes: 480
70659: reward: 200.00, mean_100: 169.23, episodes: 481
70860: reward: 200.00, mean_100: 169.83, episodes: 482
71061: reward: 200.00, mean_100: 170.22, episodes: 483
71262: reward: 200.00, mean_100: 170.77, episodes: 484
71463: reward: 200.00, mean_100: 171.26, episodes: 485
71664: reward: 200.00, mean_100: 172.01, episodes: 486
