steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_kl	average_policy_step_size
4850631	1751	16305.376769304276	1031.0	1000.0	262.0199313877562	1500.0	690.0	142.30528	1.2572299386262893	0.004104574115481228	1.0
4902441	1769	16470.534498929977	993.0	870.0	585.207465586161	2470.0	370.0	104.98695	1.3267210112512111	0.004131304949987679	1.0
4952883	1787	16640.75158929825	1052.0	960.0	417.1277448882483	1860.0	510.0	71.432396	1.2455009544342757	0.004096177283208817	1.0
5000212	1804	16798.541015148163	1146.0	930.0	522.8596582470503	2430.0	760.0	95.675644	1.4349234265759587	0.004073428432457149	1.0
5051653	1821	16963.47656226158	988.0	935.0	388.18094291766107	1890.0	600.0	167.16599	1.28435986790061	0.004073548822198063	1.0
5102838	1838	17125.05767440796	898.0	815.0	270.21801897315765	1500.0	630.0	65.20086	1.412415518641472	0.004109601378440857	1.0
5150327	1855	17281.11988544464	1049.0	965.0	344.55929984708166	1520.0	510.0	76.84666	1.4612698125243186	0.004110938352532685	1.0
5202058	1874	17449.437088012695	1231.0	1215.0	275.86027058800784	1630.0	750.0	93.298386	1.2826539785563946	0.0041180301737040285	1.0
5250868	1892	17613.30584192276	782.0	780.0	295.40179793329327	1330.0	330.0	122.70333	0.9521382318586111	0.004149960521608591	1.0
5302254	1910	17790.328277111053	1033.0	885.0	510.9044268092941	2400.0	680.0	112.227806	1.0132462709546088	0.0041452050884254275	1.0
5350343	1927	17957.635902643204	849.0	840.0	227.17834403833479	1230.0	540.0	28.569809	1.164746382534504	0.004152927391696721	1.0
5400736	1944	18138.963352680206	1045.0	960.0	348.1458825773408	1530.0	550.0	58.041492	1.177239373266697	0.004150914067868144	1.0
5451587	1963	18314.1081366539	1040.0	985.0	293.71187695880917	1520.0	650.0	258.4426	0.9244523742198945	0.004156407101545483	1.0
5501196	1980	18492.59799528122	1144.0	995.0	478.26538425624926	2110.0	670.0	35.779552	1.3345972081422806	0.004200957918073982	1.0
5550493	1997	18666.026282787323	990.0	990.0	237.48684174075834	1340.0	680.0	43.39419	1.3418607591986655	0.004192237816751003	1.0
5601925	2013	18845.623779535294	1052.0	1040.0	194.6963447696609	1310.0	750.0	203.72728	1.2773189125061035	0.0041573201678693295	1.0
5652534	2030	19023.302927970886	1061.0	1000.0	474.46929417098335	2060.0	520.0	134.78563	1.3188377759754657	0.004146987188141793	1.0
5702735	2047	19203.64809703827	1180.0	1140.0	253.11394008759507	1540.0	820.0	86.3186	1.363267100930214	0.0041387729486450555	1.0
5750470	2062	19374.365906000137	1080.0	990.0	282.88199345702833	1660.0	740.0	105.97388	1.0139326700866222	0.004112782140728086	1.0
5804121	2081	19552.8758084774	1084.0	1015.0	300.56243573969414	1700.0	750.0	161.86037	1.017962444037199	0.004108795877546072	1.0
5851307	2099	19712.50310230255	1255.0	1135.0	556.6816365252624	2040.0	570.0	103.09605	0.9361648744344712	0.004086124086752534	1.0
5900678	2118	19876.19786477089	1121.0	950.0	427.3549136516652	1940.0	720.0	136.61028	0.8560870436066762	0.004091666894964874	1.0
5951551	2135	20039.774844646454	849.0	825.0	204.854962242938	1160.0	500.0	121.89264	1.283250093817711	0.004107195872347802	1.0
6001273	2153	20199.930210351944	1077.0	1035.0	477.12215999212987	2050.0	530.0	77.26512	1.2869415209889412	0.004050913737155497	1.0
6051842	2170	20363.16837644577	1132.0	1105.0	391.5155736933646	2100.0	640.0	181.6306	1.1544723394364118	0.004087701924145221	1.0
6102283	2187	20528.2735517025	1158.0	1080.0	576.3640824648562	2060.0	210.0	52.044704	1.1746306822299957	0.004116734561976045	1.0
6150428	2204	20694.434904575348	984.0	1050.0	336.95367304390345	1430.0	540.0	119.18995	1.066621783852577	0.004121652417816222	1.0
6200182	2222	20858.196477413177	1013.0	970.0	358.8267920134541	1530.0	550.0	25.981392	0.7472016136199235	0.004122945824638009	1.0
6253129	2241	21030.617423534393	1091.0	1060.0	207.97702864606092	1440.0	820.0	78.36159	1.2134472180008888	0.00411876211874187	1.0
6302051	2259	21190.732397079468	1024.0	970.0	434.1070016584493	1550.0	270.0	157.02094	0.6664477277174592	0.0041142575326375665	1.0
