python3 03_pong_a2c_rollouts.py --cuda -n test0
AtariA2C(
  (conv): Sequential(
    (0): Conv2d(4, 32, kernel_size=(8, 8), stride=(4, 4))
    (1): ReLU()
    (2): Conv2d(32, 64, kernel_size=(4, 4), stride=(2, 2))
    (3): ReLU()
    (4): Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1))
    (5): ReLU()
  )
  (policy): Sequential(
    (0): Linear(in_features=3136, out_features=512, bias=True)
    (1): ReLU()
    (2): Linear(in_features=512, out_features=6, bias=True)
  )
  (value): Sequential(
    (0): Linear(in_features=3136, out_features=512, bias=True)
    (1): ReLU()
    (2): Linear(in_features=512, out_features=1, bias=True)
  )
)
390848: done 410 games, mean reward -20.265, speed 956.37 f/s
391232: done 411 games, mean reward -20.265, speed 896.48 f/s
391360: done 412 games, mean reward -20.255, speed 894.49 f/s
391872: done 413 games, mean reward -20.235, speed 939.14 f/s
392768: done 414 games, mean reward -20.235, speed 942.08 f/s
393024: done 415 games, mean reward -20.235, speed 923.31 f/s
393536: done 416 games, mean reward -20.215, speed 949.04 f/s
396736: done 417 games, mean reward -20.205, speed 955.40 f/s
397248: done 418 games, mean reward -20.195, speed 941.62 f/s
399040: done 419 games, mean reward -20.195, speed 950.91 f/s
399296: done 420 games, mean reward -20.185, speed 907.48 f/s
400768: done 421 games, mean reward -20.175, speed 946.45 f/s
400960: done 422 games, mean reward -20.175, speed 924.80 f/s
401344: done 423 games, mean reward -20.155, speed 938.36 f/s
